model,accuracy,precision,recall,f1-score
NN Depth 1 (TF-IDF),0.6032080777096115,0.6654203525644727,0.4054733259458604,0.4430437328759654
RNN Depth 2 (GPT-2),0.331,0.6105580455527881,0.3849056603773585,0.4231641834560042
RNN Depth 3 (BOW),0.5783806237218814,0.9503979318028737,0.3937325959916853,0.41512354178274513
RNN Depth 3 (Word2Vec + PCA),0.5214404396728016,0.50517492054961,0.4107940937977333,0.4072625349687895
NN Depth 2 (GPT-2),0.543,0.5712181671581004,0.3823178016726404,0.40587286403437084
NN Depth 1 (Word2Vec),0.5127492331288344,0.5882583043168608,0.30704202232435984,0.3906148279161789
RNN Depth 1 (Distilled BERT),0.18,0.28304680851063835,0.5425531914893617,0.36751058186127883
RNN Depth 3 (GPT-2),0.461,0.33507218587863746,0.0747800586510264,0.12227195554869578
RNN Depth 1 (Word2Vec),0.4345922801635992,0.07774120094235701,0.013647127755670027,0.023071873561447014
NN Depth 3 (GPT-2),0.427,0.28358526719182453,0.00894187779433681,0.01733709057067923
RNN Depth 2 (Word2Vec),0.4330265848670757,0.01948949840534944,0.0029429949301347847,0.005113786875138306
All Zero Predictor,0.4456480061349693,0.0,0.0,0.0
RNN Depth 3 (Word2Vec),0.4456480061349693,0.0,0.0,0.0
RNN Depth 2 (TF-IDF),0.4456480061349693,0.0,0.0,0.0
RNN Depth 2 (Distilled BERT),0.422,0.0,0.0,0.0
RNN Depth 3 (TF-IDF),0.4456480061349693,0.0,0.0,0.0
Linear_a (Distilled BERT),0.422,0.0,0.0,0.0

